id_venda;cod_cliente;nom_cliente;cod_vendedor;nom_vendedor;cod_cidade;nom_cidade;cod_produto;Nom_produto;cod_marca;Nom_marca;cod_departamento;nom_departamento;cod_gerencia;nom_gerencia;Ano_venda;Mes_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota;Latitude;Longitude
1;3;Renato Russo;3;Issac Palmeiras;3;Roma;4;Monitor;4;IBM;1;Informática;3;Eletro Eletrônico;2015;8;22;22/08/2015;1;1300;1033;35685;139751389
2;4;Tom Jobim;3;Issac Palmeiras;1;Salvador;10;Papel A4;8;FABER CASTELL;1;Papelaria;1;Tecnologia;2014;8;15;15/08/2014;1;2.15;812;31045556;121399722
3;5;Edson Arantes;5;Maria Braga;3;Roma;11;Caneta ;8;FABER CASTELL;1;Papelaria;3;Eletro Eletrônico;2014;4;26;26/04/2014;2;0.5;447;18975;72825833
4;5;Edson Arantes;9;Diego Santos;2;Nova Iorque;19;Fogão;13;BRASTEMP;1;Eletrodomestico;4;Casa e Decoração;2014;1;9;09/01/2014;1;1500;509;249056;670822
5;6;Reginaldo Rossi;10;Danilo Barreto;4;Bagdá;16;Perfume;11;PHILIPS;6;cosmético;4;Casa e Decoração;2015;5;24;24/05/2015;1;135;1337;28666667;77216667
6;4;Tom Jobim;4;Daniela Matos;3;Roma;11;Caneta ;8;FABER CASTELL;3;Papelaria;3;Eletro Eletrônico;2014;7;25;25/07/2014;1;0.5;1337;286;772
7;3;Renato Russo;4;Daniela Matos;1;Salvador;9;Celular  8GB;8;FABER CASTELL;5;Informática;4;Casa e Decoração;2015;3;12;12/03/2015;1;12.25;724;146042;1209822
8;2;Benito de Paula;7;João Oliveira;5;Budapeste;19;Fogão;13;BRASTEMP;4;Eletrodomestico;3;Eletro Eletrônico;2014;8;17;17/08/2014;2;1500;375;55752222;37615556
9;2;Benito de Paula;9;Diego Santos;5;Budapeste;20;Geladeira;12;ELETROLUX;3;Eletrodomestico;2;papelaria/cosmético;2015;2;7;07/02/2015;2;350;416;375985;1269783
10;5;Edson Arantes;9;Diego Santos;1;Salvador;15;Baton;10;BOTICARIO;3;cosmético;2;papelaria/cosmético;2014;10;7;07/10/2014;1;98.5;1085;-23473293;-46665803
11;5;Edson Arantes;3;Issac Palmeiras;4;Bagdá;16;Perfume;11;PHILIPS;5;cosmético;3;Eletro Eletrônico;2014;7;2;02/07/2014;1;135;692;41018611;28964722
12;5;Edson Arantes;2;Márcio Barroso;3;Roma;18;Xbox ;12;ELETROLUX;1;Informática;4;Casa e Decoração;2014;4;2;02/04/2014;3;850;74;6453056;3395833
